Sources;Periods;CO2 (mln kgs);CH4 (mln kgs);N2O (mln kgs)
Total stationary and mobile sources;1990;163600;1276,1;60,67
Total stationary and mobile sources;1991;172000;1292,18;61,34
Total stationary and mobile sources;1992;171700;1275,77;62,26
Total stationary and mobile sources;1993;171600;1257,9;63,21
Total stationary and mobile sources;1994;172400;1216,42;61,69
Total stationary and mobile sources;1995;173900;1186,69;61,19
Total stationary and mobile sources;1996;182900;1159,43;61,4
Total stationary and mobile sources;1997;175900;1093,24;60,5
Total stationary and mobile sources;1998;176800;1064,27;58,56
Total stationary and mobile sources;1999;171400;1013,2;56,31
Total stationary and mobile sources;2000;172500;968,48;54,09
Total stationary and mobile sources;2001;177600;942,35;51
Total stationary and mobile sources;2002;176900;896,71;47,95
Total stationary and mobile sources;2003;180300;865,78;47,55
Total stationary and mobile sources;2004;182200;849,54;48,79
Total stationary and mobile sources;2005;178300;790,77;48,62
Total stationary and mobile sources;2006;173400;772,85;48,89
Total stationary and mobile sources;2007;173200;774,7;43,57
Total stationary and mobile sources;2008;176100;783,93;30,99
Total stationary and mobile sources;2009;170800;777,18;30,44
Total stationary and mobile sources;2010;182800;774,32;29,47
Total stationary and mobile sources;2011;169600;751,61;28,75
Total stationary and mobile sources;2012;165900;734,93;28,15
Total stationary and mobile sources;2013;165300;734,22;28,89
Total stationary and mobile sources;2014;157900;716,72;29,32
Total stationary and mobile sources;2015;164300;724,75;30,08
Total stationary and mobile sources;2016;165100;729,57;29,05
Total stationary and mobile sources;2017;162700;716,56;29,86
Total stationary and mobile sources;2018;158600;692,67;29,14
Total stationary and mobile sources;2019;152900;688,28;28,73
Total stationary and mobile sources;2020;137100;677,63;28,15
Total stationary and mobile sources;2021;140400;668,4;27
"Stationary sources; total";1990;130600;1267,57;60,22
"Stationary sources; total";1991;138600;1284,73;60,79
"Stationary sources; total";1992;136900;1268,72;61,58
"Stationary sources; total";1993;136000;1251,15;62,43
"Stationary sources; total";1994;137100;1210,09;60,83
"Stationary sources; total";1995;138000;1180,5;60,24
"Stationary sources; total";1996;145800;1153,37;60,39
"Stationary sources; total";1997;138900;1087,64;59,49
"Stationary sources; total";1998;139100;1058,98;57,55
"Stationary sources; total";1999;132800;1008,23;55,3
"Stationary sources; total";2000;134100;963,99;53,07
"Stationary sources; total";2001;138900;937,98;49,98
"Stationary sources; total";2002;137900;892,46;46,95
"Stationary sources; total";2003;140900;861,68;46,58
"Stationary sources; total";2004;142400;845,65;47,85
"Stationary sources; total";2005;138100;786,99;47,71
"Stationary sources; total";2006;132500;769,1;48
"Stationary sources; total";2007;133300;770,99;42,66
"Stationary sources; total";2008;136100;780,25;30,03
"Stationary sources; total";2009;132400;773,66;29,48
"Stationary sources; total";2010;143700;770,9;28,48
"Stationary sources; total";2011;130600;748,26;27,72
"Stationary sources; total";2012;128900;731,8;27,15
"Stationary sources; total";2013;129700;731,19;27,9
"Stationary sources; total";2014;124600;713,83;28,43
"Stationary sources; total";2015;130900;721,91;29,17
"Stationary sources; total";2016;131600;726,77;28,17
"Stationary sources; total";2017;128600;713,65;28,94
"Stationary sources; total";2018;124300;689,84;28,23
"Stationary sources; total";2019;119300;685,41;27,83
"Stationary sources; total";2020;107800;675,08;27,37
"Stationary sources; total";2021;111100;665,77;26,22
192 Manufacture of refined petroleum ;1990;11000;1,13;0,05
192 Manufacture of refined petroleum ;1991;11100;1,14;0,02
192 Manufacture of refined petroleum ;1992;10400;1,1;0,02
192 Manufacture of refined petroleum ;1993;11500;1,25;0,05
192 Manufacture of refined petroleum ;1994;11300;1,19;0,05
192 Manufacture of refined petroleum ;1995;11600;1,03;0,05
192 Manufacture of refined petroleum ;1996;11800;1,02;0,05
192 Manufacture of refined petroleum ;1997;12000;1,05;0,05
192 Manufacture of refined petroleum ;1998;12400;1;0,05
192 Manufacture of refined petroleum ;1999;11800;0,9;0,04
192 Manufacture of refined petroleum ;2000;12400;0,9;0,04
192 Manufacture of refined petroleum ;2001;12700;0,86;0,04
192 Manufacture of refined petroleum ;2002;11700;0,87;0,03
192 Manufacture of refined petroleum ;2003;12200;0,89;0,04
192 Manufacture of refined petroleum ;2004;12200;0,94;0,04
192 Manufacture of refined petroleum ;2005;12400;0,87;0,04
192 Manufacture of refined petroleum ;2006;11600;0,84;0,04
192 Manufacture of refined petroleum ;2007;11600;0,95;0,04
192 Manufacture of refined petroleum ;2008;11800;0,83;0,04
192 Manufacture of refined petroleum ;2009;10800;1,26;0,03
192 Manufacture of refined petroleum ;2010;10600;1,03;0,02
192 Manufacture of refined petroleum ;2011;10800;1,48;0,03
192 Manufacture of refined petroleum ;2012;10500;1,31;0,03
192 Manufacture of refined petroleum ;2013;10300;0,86;0,03
192 Manufacture of refined petroleum ;2014;10700;0,87;0,03
192 Manufacture of refined petroleum ;2015;11100;0,9;0,03
192 Manufacture of refined petroleum ;2016;10700;0,92;0,03
192 Manufacture of refined petroleum ;2017;10100;0,91;0,03
192 Manufacture of refined petroleum ;2018;10200;1,04;0,03
192 Manufacture of refined petroleum ;2019;11000;1,08;0,03
192 Manufacture of refined petroleum ;2020;10000;1,03;0,03
192 Manufacture of refined petroleum ;2021;10500;0,94;0,03
35 Energy supply;1990;39500;1,53;0,38
35 Energy supply;1991;39900;1,8;0,35
35 Energy supply;1992;40500;1,89;0,34
35 Energy supply;1993;41700;2,05;0,34
35 Energy supply;1994;45600;2,14;0,38
35 Energy supply;1995;47600;2,3;0,41
35 Energy supply;1996;48100;2,59;0,39
35 Energy supply;1997;48300;2,72;0,37
35 Energy supply;1998;50100;2,81;0,39
35 Energy supply;1999;47000;2,89;0,34
35 Energy supply;2000;48200;2,96;0,38
35 Energy supply;2001;51700;3,23;0,42
35 Energy supply;2002;52700;3,41;0,44
35 Energy supply;2003;53500;3,32;0,44
35 Energy supply;2004;54700;3,69;0,45
35 Energy supply;2005;51900;4,01;0,5
35 Energy supply;2006;47600;3,77;0,46
35 Energy supply;2007;50400;3,5;0,45
35 Energy supply;2008;49800;3,56;0,43
35 Energy supply;2009;49700;3,86;0,45
35 Energy supply;2010;51800;4,23;0,46
35 Energy supply;2011;47600;3,89;0,43
35 Energy supply;2012;44600;3,3;0,46
35 Energy supply;2013;44700;2,98;0,43
35 Energy supply;2014;48400;2,81;0,46
35 Energy supply;2015;52900;3,34;0,56
35 Energy supply;2016;51700;3,49;0,52
35 Energy supply;2017;48100;3,3;0,45
35 Energy supply;2018;44400;3,32;0,41
35 Energy supply;2019;41300;4,02;0,36
35 Energy supply;2020;32300;4,7;0,36
35 Energy supply;2021;32200;4,37;0,49
Industry (non energy) ;1990;40300;14;24,01
Industry (non energy) ;1991;42600;14,17;24,01
Industry (non energy) ;1992;43900;14,34;24,2
Industry (non energy) ;1993;38600;14;25,81
Industry (non energy) ;1994;39000;14,06;25,27
Industry (non energy) ;1995;35300;14,04;24,03
Industry (non energy) ;1996;36000;14,29;24,06
Industry (non energy) ;1997;35400;14,26;23,88
Industry (non energy) ;1998;34900;14,32;23,94
Industry (non energy) ;1999;34100;14,8;22,82
Industry (non energy) ;2000;33400;14,81;23,35
Industry (non energy) ;2001;32800;14,6;21,35
Industry (non energy) ;2002;33200;15,93;20,45
Industry (non energy) ;2003;33700;15,98;20,65
Industry (non energy) ;2004;33700;15,99;22,58
Industry (non energy) ;2005;33400;15,88;22,72
Industry (non energy) ;2006;33400;14,7;22,57
Industry (non energy) ;2007;34000;14,74;18,26
Industry (non energy) ;2008;33400;14,42;6,08
Industry (non energy) ;2009;30500;13,97;6,28
Industry (non energy) ;2010;33700;14,82;5,35
Industry (non energy) ;2011;32900;14,56;5,36
Industry (non energy) ;2012;32100;14,56;5,4
Industry (non energy) ;2013;31700;14,37;5,41
Industry (non energy) ;2014;30800;14,61;5,65
Industry (non energy) ;2015;30400;14,59;5,67
Industry (non energy) ;2016;32200;14,74;4,98
Industry (non energy) ;2017;33800;15,05;5,27
Industry (non energy) ;2018;33400;14,56;4,82
Industry (non energy) ;2019;32100;15,12;4,82
Industry (non energy) ;2020;32400;16,19;4,38
Industry (non energy) ;2021;32500;15,94;3,68
Households in autonomous homes;1990;20900;21,96;0,2
Households in autonomous homes;1991;24000;24,28;0,22
Households in autonomous homes;1992;22000;22,42;0,22
Households in autonomous homes;1993;23200;23,17;0,25
Households in autonomous homes;1994;21700;21,83;0,24
Households in autonomous homes;1995;23500;23,32;0,28
Households in autonomous homes;1996;27300;26,53;0,34
Households in autonomous homes;1997;22900;22,62;0,3
Households in autonomous homes;1998;21800;21,49;0,32
Households in autonomous homes;1999;20700;20,24;0,3
Households in autonomous homes;2000;20700;20,02;0,27
Households in autonomous homes;2001;22000;20,74;0,24
Households in autonomous homes;2002;21200;19,93;0,24
Households in autonomous homes;2003;21700;20,32;0,25
Households in autonomous homes;2004;20700;19,51;0,29
Households in autonomous homes;2005;19900;18,9;0,3
Households in autonomous homes;2006;20100;18,68;0,32
Households in autonomous homes;2007;17900;16,69;0,28
Households in autonomous homes;2008;20300;18,56;0,31
Households in autonomous homes;2009;20100;18,5;0,35
Households in autonomous homes;2010;23400;21,32;0,37
Households in autonomous homes;2011;18300;16,93;0,35
Households in autonomous homes;2012;19500;18,02;0,35
Households in autonomous homes;2013;20700;18,95;0,36
Households in autonomous homes;2014;15500;14,55;0,34
Households in autonomous homes;2015;16500;15,41;0,35
Households in autonomous homes;2016;17200;15,83;0,36
Households in autonomous homes;2017;16700;15,22;0,35
Households in autonomous homes;2018;16600;15,05;0,38
Households in autonomous homes;2019;16000;14,46;0,37
Households in autonomous homes;2020;15300;13,71;0,36
Households in autonomous homes;2021;17400;15,34;0,33
01 Agriculture (stationary sources);1990;8000;583,87;32,11
01 Agriculture (stationary sources);1991;9000;592,95;32,63
01 Agriculture (stationary sources);1992;8700;589,3;33,14
01 Agriculture (stationary sources);1993;9100;585,21;32,27
01 Agriculture (stationary sources);1994;8400;565,64;31,13
01 Agriculture (stationary sources);1995;8400;561,13;31,75
01 Agriculture (stationary sources);1996;9300;550,17;31,81
01 Agriculture (stationary sources);1997;7800;527,15;31,1
01 Agriculture (stationary sources);1998;7800;518,07;29,11
01 Agriculture (stationary sources);1999;7500;511,76;28,15
01 Agriculture (stationary sources);2000;7600;494,09;25,51
01 Agriculture (stationary sources);2001;7400;490,24;24,36
01 Agriculture (stationary sources);2002;7000;464,71;22,32
01 Agriculture (stationary sources);2003;7100;456,06;21,84
01 Agriculture (stationary sources);2004;7300;455,99;21,11
01 Agriculture (stationary sources);2005;7600;455,6;20,76
01 Agriculture (stationary sources);2006;6900;460,84;21,26
01 Agriculture (stationary sources);2007;7400;477,36;20,24
01 Agriculture (stationary sources);2008;8200;496,7;19,77
01 Agriculture (stationary sources);2009;8200;504,51;18,98
01 Agriculture (stationary sources);2010;9700;508,24;18,92
01 Agriculture (stationary sources);2011;8600;501,09;18,14
01 Agriculture (stationary sources);2012;8700;495,49;17,51
01 Agriculture (stationary sources);2013;8400;505,86;18,29
01 Agriculture (stationary sources);2014;7200;503,47;18,55
01 Agriculture (stationary sources);2015;7600;521,86;19,13
01 Agriculture (stationary sources);2016;7500;533,46;18,7
01 Agriculture (stationary sources);2017;7600;532,48;19,28
01 Agriculture (stationary sources);2018;7800;515,76;19,02
01 Agriculture (stationary sources);2019;7800;515,88;18,63
01 Agriculture (stationary sources);2020;7400;512,39;18,68
01 Agriculture (stationary sources);2021;7800;507,54;18,12
"Mobile sources; total";1990;32900;8,53;0,45
"Mobile sources; total";1991;33400;7,46;0,56
"Mobile sources; total";1992;34800;7,05;0,67
"Mobile sources; total";1993;35700;6,75;0,78
"Mobile sources; total";1994;35200;6,32;0,86
"Mobile sources; total";1995;35900;6,2;0,96
"Mobile sources; total";1996;37100;6,06;1,01
"Mobile sources; total";1997;37000;5,6;1,01
"Mobile sources; total";1998;37700;5,29;1,01
"Mobile sources; total";1999;38600;4,97;1,01
"Mobile sources; total";2000;38500;4,49;1,02
"Mobile sources; total";2001;38700;4,37;1,01
"Mobile sources; total";2002;39100;4,24;1
"Mobile sources; total";2003;39400;4,1;0,97
"Mobile sources; total";2004;39800;3,88;0,94
"Mobile sources; total";2005;40200;3,79;0,91
"Mobile sources; total";2006;40900;3,75;0,9
"Mobile sources; total";2007;39900;3,71;0,92
"Mobile sources; total";2008;40000;3,68;0,96
"Mobile sources; total";2009;38400;3,51;0,96
"Mobile sources; total";2010;39100;3,42;0,99
"Mobile sources; total";2011;39000;3,34;1,03
"Mobile sources; total";2012;37100;3,13;1
"Mobile sources; total";2013;35700;3,03;0,99
"Mobile sources; total";2014;33300;2,89;0,9
"Mobile sources; total";2015;33400;2,84;0,91
"Mobile sources; total";2016;33600;2,8;0,88
"Mobile sources; total";2017;34100;2,91;0,92
"Mobile sources; total";2018;34300;2,83;0,92
"Mobile sources; total";2019;33600;2,87;0,9
"Mobile sources; total";2020;29300;2,54;0,78
"Mobile sources; total";2021;29300;2,63;0,78
Road transport;1990;26400;7,64;0,34
Road transport;1991;26800;6,57;0,44
Road transport;1992;28400;6,2;0,56
Road transport;1993;29200;5,92;0,67
Road transport;1994;28700;5,51;0,75
Road transport;1995;29000;5,37;0,84
Road transport;1996;30200;5,25;0,89
Road transport;1997;30300;4,8;0,89
Road transport;1998;31000;4,5;0,89
Road transport;1999;31500;4,15;0,89
Road transport;2000;31500;3,71;0,9
Road transport;2001;31700;3,61;0,9
Road transport;2002;32500;3,52;0,89
Road transport;2003;33100;3,45;0,87
Road transport;2004;33600;3,26;0,84
Road transport;2005;33800;3,17;0,81
Road transport;2006;34600;3,16;0,8
Road transport;2007;33700;3,15;0,82
Road transport;2008;33800;3,14;0,86
Road transport;2009;32300;2,99;0,86
Road transport;2010;32900;2,9;0,89
Road transport;2011;32900;2,84;0,93
Road transport;2012;31500;2,67;0,91
Road transport;2013;29900;2,56;0,9
Road transport;2014;27600;2,45;0,81
Road transport;2015;27700;2,4;0,82
Road transport;2016;27900;2,38;0,79
Road transport;2017;28700;2,52;0,84
Road transport;2018;28900;2,45;0,83
Road transport;2019;28500;2,51;0,82
Road transport;2020;24300;2,21;0,7
Road transport;2021;24400;2,3;0,7
Water transport;1990;700;0,09;0,02
Water transport;1991;800;0,1;0,02
Water transport;1992;800;0,09;0,02
Water transport;1993;800;0,1;0,02
Water transport;1994;800;0,09;0,02
Water transport;1995;800;0,1;0,02
Water transport;1996;800;0,11;0,02
Water transport;1997;800;0,1;0,02
Water transport;1998;800;0,1;0,02
Water transport;1999;800;0,11;0,02
Water transport;2000;800;0,11;0,02
Water transport;2001;800;0,11;0,02
Water transport;2002;900;0,12;0,02
Water transport;2003;800;0,12;0,02
Water transport;2004;800;0,12;0,02
Water transport;2005;900;0,13;0,02
Water transport;2006;1000;0,13;0,02
Water transport;2007;1000;0,14;0,03
Water transport;2008;1000;0,14;0,03
Water transport;2009;1000;0,14;0,03
Water transport;2010;1200;0,15;0,03
Water transport;2011;1200;0,15;0,03
Water transport;2012;1100;0,14;0,03
Water transport;2013;1100;0,15;0,03
Water transport;2014;1000;0,13;0,03
Water transport;2015;1100;0,14;0,03
Water transport;2016;1000;0,14;0,03
Water transport;2017;1000;0,13;0,03
Water transport;2018;1000;0,13;0,03
Water transport;2019;900;0,13;0,02
Water transport;2020;700;0,1;0,02
Water transport;2021;800;0,11;0,02
Agriculture (mobile sources);1990;1100;0,2;0,01
Agriculture (mobile sources);1991;1100;0,19;0,01
Agriculture (mobile sources);1992;1100;0,18;0,01
Agriculture (mobile sources);1993;1100;0,18;0,01
Agriculture (mobile sources);1994;1100;0,17;0,01
Agriculture (mobile sources);1995;1100;0,18;0,01
Agriculture (mobile sources);1996;1000;0,17;0,01
Agriculture (mobile sources);1997;1000;0,17;0,01
Agriculture (mobile sources);1998;1000;0,16;0,01
Agriculture (mobile sources);1999;1100;0,17;0,01
Agriculture (mobile sources);2000;1100;0,17;0,01
Agriculture (mobile sources);2001;1100;0,17;0,01
Agriculture (mobile sources);2002;1100;0,16;0,01
Agriculture (mobile sources);2003;1100;0,12;0,01
Agriculture (mobile sources);2004;1000;0,11;0,01
Agriculture (mobile sources);2005;1100;0,11;0,01
Agriculture (mobile sources);2006;1100;0,1;0,01
Agriculture (mobile sources);2007;1100;0,1;0,01
Agriculture (mobile sources);2008;1100;0,09;0,01
Agriculture (mobile sources);2009;1000;0,09;0,01
Agriculture (mobile sources);2010;1100;0,09;0,01
Agriculture (mobile sources);2011;1100;0,09;0,01
Agriculture (mobile sources);2012;1100;0,08;0,01
Agriculture (mobile sources);2013;1200;0,08;0,01
Agriculture (mobile sources);2014;1300;0,08;0,01
Agriculture (mobile sources);2015;1300;0,08;0,01
Agriculture (mobile sources);2016;1200;0,07;0,01
Agriculture (mobile sources);2017;1200;0,07;0,01
Agriculture (mobile sources);2018;1300;0,07;0,01
Agriculture (mobile sources);2019;1200;0,06;0,01
Agriculture (mobile sources);2020;1300;0,06;0,01
Agriculture (mobile sources);2021;1300;0,06;0,01
