Energy commodities;Sectors;Periods;From supply/Total Primary Energy Supply (PJ);From supply/Indigenous production (PJ);From supply/Receipts of energy (PJ);From supply/Deliveries of energy (-) (PJ);From supply/Stock change (PJ);From supply/Statistical differences (PJ);From consumption/Total energy consumption (PJ);From consumption/Energy transformation/Total net energy transformation (PJ);From consumption/Own use (PJ);From consumption/Distribution losses (PJ);From consumption/Final energy consumption (PJ);From consumption/Non-energy use (PJ)
Total coal and coal products;Total final users of energy;1992;40,4;;40,4;;;;40,4;13,7;;;16,8;9,9
Total coal and coal products;Total final users of energy;1993;40,8;;52,4;13,5;1,9;;40,8;13,6;;;17,5;9,7
Total coal and coal products;Total final users of energy;1994;29;;36,4;5,7;-1,7;;29;4,9;;;14,5;9,5
Total coal and coal products;Total final users of energy;1995;32,5;;42,1;10,4;0,7;;32,5;3,4;;;18,8;10,2
Total coal and coal products;Total final users of energy;1996;31,9;;43,9;10;-2;;31,9;3,6;;;17,3;10,9
Total coal and coal products;Total final users of energy;1997;33,6;;52;18,5;0,1;;33,6;3,9;;;19,6;10,2
Total coal and coal products;Total final users of energy;1998;30,5;;50,2;18;-1,7;;30,5;5;;;16,8;8,7
Total coal and coal products;Total final users of energy;1999;27,6;;44,4;18,5;1,7;;27,6;6,1;;;15,6;5,9
Total coal and coal products;Total final users of energy;2000;25,4;;51,3;22,5;-3,5;;25,4;6,3;;;14,2;4,9
Total coal and coal products;Total final users of energy;2001;25,1;;48,2;27,3;4,3;;25,1;6,8;;;13,9;4,4
Total coal and coal products;Total final users of energy;2002;25,9;;48,4;24,5;2;;25,9;6,6;;;15;4,4
Total coal and coal products;Total final users of energy;2003;25,8;;46,4;21,3;0,7;;25,8;6,6;;;14,6;4,7
Total coal and coal products;Total final users of energy;2004;26,5;;44,6;14,8;-3,4;;26,5;7;;;14,8;4,6
Total coal and coal products;Total final users of energy;2005;25,7;;41,8;14,1;-2;;25,7;6,1;;;14,9;4,7
Total coal and coal products;Total final users of energy;2006;26,5;;44,4;18,3;0,5;;26,5;6;;;15,9;4,6
Total coal and coal products;Total final users of energy;2007;28,6;;44,7;18,6;2,6;;28,6;6,1;;;17,4;5,1
Total coal and coal products;Total final users of energy;2008;28,4;;48,7;17,2;-3,1;;28,4;6,3;;;16,7;5,3
Total coal and coal products;Total final users of energy;2009;23,8;;25,6;8,7;6,9;;23,8;5,7;;;13,9;4,2
Total coal and coal products;Total final users of energy;2010;26,7;;36,4;10,5;0,8;;26,7;6,1;;;16,5;4
Total coal and coal products;Total final users of energy;2011;26,2;;37,3;8,4;-2,6;;26,2;5,9;;;16,1;4,3
Total coal and coal products;Total final users of energy;2012;24,4;;32,6;9,1;0,9;;24,4;5,5;;;14,9;4
Total coal and coal products;Total final users of energy;2013;21,9;;25,8;12,8;8,9;;21,9;4,1;;;14,2;3,6
Total coal and coal products;Total final users of energy;2014;19,2;;40,9;16,4;-5,3;;19,2;3,2;;;14,2;1,7
Total coal and coal products;Total final users of energy;2015;21,6;;22;;-0,4;;21,6;2,7;;;15,4;3,6
Total coal and coal products;Total final users of energy;2016;23;;24,4;;-1,4;;23;2,5;;;17,3;3,2
Total coal and coal products;Total final users of energy;2017;24,6;;22,8;0,5;2,3;;24,6;2,6;;;19;3,1
Total coal and coal products;Total final users of energy;2018;23,3;;24,7;0,4;-1,1;;23,3;2,7;;;17,3;3,3
Total coal and coal products;Total final users of energy;2019;20,4;;22,2;0,8;-0,9;;20,4;2,7;;;14,8;3
Total coal and coal products;Total final users of energy;2020;19,3;;20;2,3;1,6;;19,3;3,2;;;13,4;2,8
Total coal and coal products;Total final users of energy;2021**;17,7;;91;69,8;-3,5;;17,7;2,4;;;13,3;2
Total coal and coal products;Total final users of energy;2022**;18,4;;92,9;75;0,5;;18,4;2,1;;;15;1,3
Total crude and petroleum products;Total energy sector and final users;1990;1057,7;175,2;8479,1;7602,9;8,3;-2;1059,7;97,2;109,6;;536,3;316,6
Total crude and petroleum products;Total energy sector and final users;1991;1049,3;169,1;8743;7857,1;-8;2,4;1047;102,6;112,4;;533,7;298,3
Total crude and petroleum products;Total energy sector and final users;1992;1062;153,3;8471,8;7529,8;-35,5;2,3;1059,7;102,7;106,9;;550,2;299,9
Total crude and petroleum products;Total energy sector and final users;1993;1071,5;153,2;8791,8;7880,6;5,8;1,2;1070,3;99,1;114,3;;567,8;289,1
Total crude and petroleum products;Total energy sector and final users;1994;1092,7;199,5;9108;8175,2;-37;-2,6;1095,4;101,6;116,2;;560;317,5
Total crude and petroleum products;Total energy sector and final users;1995;1121,3;162,3;9176,5;8296;79,4;-1;1122,3;117;112,8;;556,5;336
Total crude and petroleum products;Total energy sector and final users;1996;1149;147,2;9816,1;8808,7;-7,8;2,3;1146,7;120,4;108,6;;579,4;338,2
Total crude and petroleum products;Total energy sector and final users;1997;1150,2;141,4;10091,5;9068;-17,3;2,5;1147,7;124,7;98,5;;571,3;353,2
Total crude and petroleum products;Total energy sector and final users;1998;1157,2;128,6;10333,4;9265,3;-40,7;1,2;1156;138,9;91;;578,9;347,2
Total crude and petroleum products;Total energy sector and final users;1999;1156;122,3;10010,5;9092,3;122,2;-6,7;1162,7;129,7;80,4;;598,9;353,7
Total crude and petroleum products;Total energy sector and final users;2000;1158,6;114,8;10419;9285;-85,3;-4,9;1163,6;124,5;84,4;;590,8;363,9
Total crude and petroleum products;Total energy sector and final users;2001;1188,5;108,6;10495,4;9410,9;-3,5;-1,1;1189,5;133,8;84,5;;600;371,3
Total crude and petroleum products;Total energy sector and final users;2002;1219,3;142,2;10748,5;9723,3;53,5;-1,6;1220,9;118,6;76,2;;619,1;407
Total crude and petroleum products;Total energy sector and final users;2003;1305,9;142,1;10900,7;9765;29,2;-1;1306,9;128,7;79,8;;630,5;467,9
Total crude and petroleum products;Total energy sector and final users;2004;1305,7;129,1;11740,2;10518;-43,2;-2,5;1308,1;126,9;86,6;;630,8;463,9
Total crude and petroleum products;Total energy sector and final users;2005;1304,6;107,2;11667;10419,7;-49,5;-0,4;1304,9;116,6;90,1;;631,7;466,5
Total crude and petroleum products;Total energy sector and final users;2006;1314,3;97,8;12344;11083,7;-43,5;-0,2;1314,5;97,1;85,4;;663,9;468,1
Total crude and petroleum products;Total energy sector and final users;2007;1319,9;125,1;11960,2;10769,1;6,8;-3,2;1323,1;94;93,6;;675,2;460,2
Total crude and petroleum products;Total energy sector and final users;2008;1235,1;104,8;12066;10881,8;-50,8;-3;1238,1;65,1;87,1;;662,7;423,3
Total crude and petroleum products;Total energy sector and final users;2009;1205,2;85,5;11772,4;10616,8;-28,4;-7,7;1212,9;60,3;77,6;;643,6;431,4
Total crude and petroleum products;Total energy sector and final users;2010;1256,8;74,7;12587,2;11432,5;32,7;-5,3;1262,1;64,1;72,1;;657,8;468,2
Total crude and petroleum products;Total energy sector and final users;2011;1203,9;76,9;12468,2;11471,8;138,6;-8;1212;61,7;78,1;;647;425,2
Total crude and petroleum products;Total energy sector and final users;2012;1217,3;83,2;12784,4;11547;-98,8;-4,5;1221,8;63,7;81,5;;636,5;440,1
Total crude and petroleum products;Total energy sector and final users;2013;1141,2;86,7;12220,3;11160,4;4,5;-9,8;1151;56,4;76,2;;607,2;411,3
Total crude and petroleum products;Total energy sector and final users;2014;1129,5;110,2;12417,1;11356,4;-36,1;-5,3;1134,8;70,4;80,8;;576,9;406,7
Total crude and petroleum products;Total energy sector and final users;2015;1134,3;103,2;13323,3;12151,3;-140,8;;1134,3;56,7;92,8;;578,1;406,7
Total crude and petroleum products;Total energy sector and final users;2016;1171,1;82,2;13520,7;12480,1;48,3;;1171,1;52,3;93,5;;591,1;434,1
Total crude and petroleum products;Total energy sector and final users;2017;1186,1;80,8;13399,5;12381,3;87,1;;1186,1;43,7;86,8;;600,9;454,7
Total crude and petroleum products;Total energy sector and final users;2018;1159;80,3;13219,3;12156,2;15,6;0;1159,1;27,5;87;;615,8;428,7
Total crude and petroleum products;Total energy sector and final users;2019;1112,8;68,3;13384,5;12267,9;-72;0;1112,9;26,7;99,5;;602,4;384,2
Total crude and petroleum products;Total energy sector and final users;2020;1080,3;64;12091;11003,2;-71,5;0;1080,3;18,7;84,4;;546;431,2
Total crude and petroleum products;Total energy sector and final users;2021**;1102,5;65,3;12415,9;11653,6;274,9;0;1102,5;38;98,3;;543,2;423
Total crude and petroleum products;Total energy sector and final users;2022**;1055,5;51,4;12581,5;11427,7;-149,7;0;1055,5;61;101,3;;531;362,2
Total crude and petroleum products;Total energy sector;1990;171,5;170,4;4282;4279,3;-1,5;;171,5;61,9;109,6;;;
Total crude and petroleum products;Total energy sector;1991;182,1;159,4;4131,3;4125,6;17;;182,1;69,7;112,4;;;
Total crude and petroleum products;Total energy sector;1992;177,6;142,6;4092,4;4019,8;-37,6;;177,6;70,7;106,9;;;
Total crude and petroleum products;Total energy sector;1993;191;141,1;4072,5;4023,4;0,8;;191;76,7;114,3;;;
Total crude and petroleum products;Total energy sector;1994;195,6;185,9;4071,2;4062,5;1,1;;195,6;79,4;116,2;;;
Total crude and petroleum products;Total energy sector;1995;218;152;4354,4;4306,9;18,5;;218;105,2;112,8;;;
Total crude and petroleum products;Total energy sector;1996;215,8;138,3;4665,3;4588,2;0,4;;215,8;107,2;108,6;;;
Total crude and petroleum products;Total energy sector;1997;211,2;130,8;4800,7;4720,1;-0,2;;211,2;112,7;98,5;;;
Total crude and petroleum products;Total energy sector;1998;217,3;119,1;4884,7;4820,3;33,8;;217,3;126,3;91;;;
Total crude and petroleum products;Total energy sector;1999;202,8;112,3;4705,7;4627,8;12,6;;202,8;122,4;80,4;;;
Total crude and petroleum products;Total energy sector;2000;206,5;104,2;4688,2;4533,7;-52,1;;206,5;122,1;84,4;;;
Total crude and petroleum products;Total energy sector;2001;214,7;100,9;4649,8;4534,1;-1,9;;214,7;130,2;84,5;;;
Total crude and petroleum products;Total energy sector;2002;194,3;134,8;4440,3;4406,5;25,8;;194,3;118,1;76,2;;;
Total crude and petroleum products;Total energy sector;2003;208,2;132,5;4588,1;4537,2;24,8;;208,2;128,3;79,8;;;
Total crude and petroleum products;Total energy sector;2004;206,9;124,5;4866,8;4776,4;-8,1;;206,9;120,3;86,6;;;
Total crude and petroleum products;Total energy sector;2005;197,9;98,5;4988,8;4853,1;-36,4;;197,9;107,8;90,1;;;
Total crude and petroleum products;Total energy sector;2006;169,5;87,7;4871,9;4785,8;-4,3;;169,5;84,1;85,4;;;
Total crude and petroleum products;Total energy sector;2007;177;110,6;4753,7;4685,6;-1,7;;177;83,4;93,6;;;
Total crude and petroleum products;Total energy sector;2008;140,8;92,9;4655,8;4611;3,1;;140,8;53,7;87,1;;;
Total crude and petroleum products;Total energy sector;2009;131,4;74;4519;4426,9;-34,7;;131,4;53,9;77,6;;;
Total crude and petroleum products;Total energy sector;2010;125;60,9;4546;4488,1;6,2;;125;52,9;72,1;;;
Total crude and petroleum products;Total energy sector;2011;128,3;63,2;4508,4;4516,6;73,3;;128,3;50,2;78,1;;;
Total crude and petroleum products;Total energy sector;2012;134,4;63,2;4451,3;4339,8;-40,4;;134,4;52,9;81,5;;;
Total crude and petroleum products;Total energy sector;2013;119,7;65,4;4183,1;4139,3;10,5;;119,7;43,5;76,2;;;
Total crude and petroleum products;Total energy sector;2014;137,1;81,6;4377,1;4314,8;-6,9;;137,1;56,2;80,8;;;
Total crude and petroleum products;Total energy sector;2015;135,7;77,7;4619,3;4534,7;-26,5;;135,7;42,9;92,8;;;
Total crude and petroleum products;Total energy sector;2016;138,2;56,9;4417,7;4365,3;29;;138,2;44,7;93,5;;;
Total crude and petroleum products;Total energy sector;2017;125,1;52,5;4315,3;4258,3;15,6;;125,1;38,3;86,8;;;
Total crude and petroleum products;Total energy sector;2018;111,8;50,3;4275,9;4220,7;6,3;;111,8;24,8;87;;;
Total crude and petroleum products;Total energy sector;2019;124,3;37,7;4257,9;4161,9;-9,5;;124,3;24,7;99,5;;;
Total crude and petroleum products;Total energy sector;2020;107,6;36,4;3813,3;3743,6;1,5;;107,6;23,2;84,4;;;
Total crude and petroleum products;Total energy sector;2021**;129,7;38,1;3987,7;3980,3;84,3;;129,7;31,4;98,3;;;
Total crude and petroleum products;Total energy sector;2022**;161;22,6;4238,8;4029,4;-71;;161;59,7;101,3;;;
Total crude and petroleum products;Total final users of energy;1990;888,2;4,9;4197,1;3323,6;9,8;;888,2;35,3;;;536,3;316,6
Total crude and petroleum products;Total final users of energy;1991;864,9;9,7;4611,7;3731,5;-25;;864,9;32,9;;;533,7;298,3
Total crude and petroleum products;Total final users of energy;1992;882,1;10,7;4379,3;3510;2,1;;882,1;32;;;550,2;299,9
Total crude and petroleum products;Total final users of energy;1993;879,4;12,2;4719,3;3857,1;5;;879,4;22,5;;;567,8;289,1
Total crude and petroleum products;Total final users of energy;1994;899,8;13,6;5036,8;4112,7;-38,1;;899,8;22,2;;;560;317,5
Total crude and petroleum products;Total final users of energy;1995;904,3;10,3;4822,2;3989,1;60,9;;904,3;11,8;;;556,5;336
Total crude and petroleum products;Total final users of energy;1996;930,9;8,9;5150,7;4220,6;-8,2;;930,9;13,2;;;579,4;338,2
Total crude and petroleum products;Total final users of energy;1997;936,5;10,6;5290,8;4347,8;-17,1;;936,5;12;;;571,3;353,2
Total crude and petroleum products;Total final users of energy;1998;938,7;9,4;5448,7;4445;-74,5;;938,7;12,6;;;578,9;347,2
Total crude and petroleum products;Total final users of energy;1999;959,9;10;5304,8;4464,5;109,6;;959,9;7,3;;;598,9;353,7
Total crude and petroleum products;Total final users of energy;2000;957,1;10,6;5730,8;4751,3;-33,2;;957,1;2,4;;;590,8;363,9
Total crude and petroleum products;Total final users of energy;2001;974,8;7,7;5845,6;4876,8;-1,6;;974,8;3,6;;;600;371,3
Total crude and petroleum products;Total final users of energy;2002;1026,6;7,4;6308,2;5316,8;27,7;;1026,6;0,5;;;619,1;407
Total crude and petroleum products;Total final users of energy;2003;1098,8;9,6;6312,6;5227,8;4,4;;1098,8;0,3;;;630,5;467,9
Total crude and petroleum products;Total final users of energy;2004;1101,3;4,6;6873,4;5741,7;-35,1;;1101,3;6,6;;;630,8;463,9
Total crude and petroleum products;Total final users of energy;2005;1107;8,6;6678,2;5566,6;-13,2;;1107;8,8;;;631,7;466,5
Total crude and petroleum products;Total final users of energy;2006;1145,1;10,1;7472,1;6297,9;-39,2;;1145,1;13,1;;;663,9;468,1
Total crude and petroleum products;Total final users of energy;2007;1146;14,4;7206,5;6083,4;8,5;;1146;10,6;;;675,2;460,2
Total crude and petroleum products;Total final users of energy;2008;1097,4;11,9;7410,2;6270,8;-54;;1097,4;11,4;;;662,7;423,3
Total crude and petroleum products;Total final users of energy;2009;1081,4;11,5;7253,5;6189,9;6,3;;1081,4;6,4;;;643,6;431,4
Total crude and petroleum products;Total final users of energy;2010;1137,1;13,8;8041,2;6944,4;26,5;;1137,1;11,2;;;657,8;468,2
Total crude and petroleum products;Total final users of energy;2011;1083,7;13,7;7959,8;6955,2;65,3;;1083,7;11,5;;;647;425,2
Total crude and petroleum products;Total final users of energy;2012;1087,5;19,9;8333,2;7207,2;-58,4;;1087,5;10,9;;;636,5;440,1
Total crude and petroleum products;Total final users of energy;2013;1031,3;21,3;8037,2;7021,2;-6;;1031,3;12,8;;;607,2;411,3
Total crude and petroleum products;Total final users of energy;2014;997,8;28,6;8040;7041,7;-29,2;;997,8;14,1;;;576,9;406,7
Total crude and petroleum products;Total final users of energy;2015;998,6;25,5;8704;7616,6;-114,2;;998,6;13,8;;;578,1;406,7
Total crude and petroleum products;Total final users of energy;2016;1032,8;25,3;9103;8114,8;19,3;;1032,8;7,6;;;591,1;434,1
Total crude and petroleum products;Total final users of energy;2017;1061;28,3;9084,2;8122,9;71,4;;1061,1;5,4;;;600,9;454,7
Total crude and petroleum products;Total final users of energy;2018;1047,2;30;8943,4;7935,5;9,3;;1047,2;2,7;;;615,8;428,7
Total crude and petroleum products;Total final users of energy;2019;988,6;30,6;9126,6;8106,1;-62,5;;988,6;2;;;602,4;384,2
Total crude and petroleum products;Total final users of energy;2020;972,7;27,6;8277,7;7259,6;-72,9;;972,7;-4,5;;;546;431,2
Total crude and petroleum products;Total final users of energy;2021**;972,8;27,2;8428,2;7673,3;190,6;;972,8;6,6;;;543,2;423
Total crude and petroleum products;Total final users of energy;2022**;894,5;28,7;8342,7;7398,3;-78,7;;894,5;1,3;;;531;362,2
Natural gas;Total energy sector and final users;1990;1286,5;2283;2714,9;3672,7;-0,2;-38,5;1325;383,8;31,3;;822;87,8
Natural gas;Total energy sector and final users;1991;1438,8;2581,2;2286,3;3388,8;-0,1;-39,7;1478,5;424,1;33,1;;919,3;102,1
Natural gas;Total energy sector and final users;1992;1393,7;2592,2;2232,6;3385,1;-0,1;-46;1439,7;439,7;35,3;;863,5;101,2
Natural gas;Total energy sector and final users;1993;1434,7;2642,4;3145,7;4306,9;-0,5;-45,9;1480,7;447,7;33,1;;903,3;96,6
Natural gas;Total energy sector and final users;1994;1396,7;2506,6;2252,2;3328,6;-0,2;-33,3;1430;446,7;31,1;;849,5;102,6
Natural gas;Total energy sector and final users;1995;1444,2;2548,2;2318,4;3397,7;;-24,6;1468,9;447;31,2;;890;100,6
Natural gas;Total energy sector and final users;1996;1591;2883,9;2643,5;3899,7;0,2;-36,9;1627,9;485,9;37,3;;1008,5;96,2
Natural gas;Total energy sector and final users;1997;1496,8;2554,2;2466,6;3495,1;-0,5;-28,5;1525,3;505,5;42,8;;873,5;103,5
Natural gas;Total energy sector and final users;1998;1487,5;2436,4;2438,5;3369,6;0,9;-18,7;1506,2;510,8;47,1;;848,8;99,6
Natural gas;Total energy sector and final users;1999;1447,8;2265,6;2484,3;3278,6;0,3;-23,8;1471,6;517,5;46,9;;808,7;98,4
Natural gas;Total energy sector and final users;2000;1465,7;2209;3143,7;3853,4;-23,7;-10;1475,7;530,2;37,9;;805,6;102
Natural gas;Total energy sector and final users;2001;1501,8;2327,3;3290;4130,8;19,1;-3,7;1505,5;554,2;36;;824,4;91
Natural gas;Total energy sector and final users;2002;1498,9;2286,7;3376,3;4157,2;-15,5;8,6;1490,3;564,8;42;;795,4;88,2
Natural gas;Total energy sector and final users;2003;1506,4;2185,8;3424,2;4108,4;-1;5,8;1500,6;563,3;40,1;;809,5;87,8
Natural gas;Total energy sector and final users;2004;1538,6;2578,2;3239,8;4282,8;1,2;2,2;1536,4;595,7;40,4;;810;90,3
Natural gas;Total energy sector and final users;2005;1479;2352;3283,6;4146,9;3,7;-13,4;1492,4;580,1;41,2;;776,8;94,3
Natural gas;Total energy sector and final users;2006;1433,7;2322,1;3290,4;4175,6;-3,8;0,6;1433,1;560,6;40,6;;745,9;85,9
Natural gas;Total energy sector and final users;2007;1395,8;2232,1;3187,1;4073,1;50,9;-1,3;1397;582,7;40,2;;680,5;93,7
Natural gas;Total energy sector and final users;2008;1451;2552,7;3359,1;4414;-43,8;-3;1454;615,3;38,9;;716,5;83,3
Natural gas;Total energy sector and final users;2009;1486;2358;3328;4223,4;26,4;-2,9;1488,9;639,5;43,6;;702,9;102,9
Natural gas;Total energy sector and final users;2010;1677,6;2709,6;3649,3;4657,1;-18,5;-5,8;1683,3;692,5;51,2;;808,8;130,8
Natural gas;Total energy sector and final users;2011;1467,2;2501,9;3243,6;4237,2;-34,9;-6,2;1473,4;630,1;56,2;;661,2;126
Natural gas;Total energy sector and final users;2012;1402;2462,5;3323,1;4376;4,6;-12,3;1414,2;532,3;49;;704,4;128,4
Natural gas;Total energy sector and final users;2013;1397,6;2606,6;3359,5;4564,1;6;-10,5;1408,1;521,3;53,5;;725,6;107,7
Natural gas;Total energy sector and final users;2014;1218,4;2173,9;3143,7;4038,4;-43,4;-17,4;1235,8;483,4;45,7;;591,4;115,3
Natural gas;Total energy sector and final users;2015;1198,5;1651,4;4847,4;5269,4;-13,6;-17,3;1215,8;442,3;46,1;;627,9;99,5
Natural gas;Total energy sector and final users;2016;1257,2;1594,3;4998,4;5402,7;75,3;-8,1;1265,3;471;41,3;;657,4;95,5
Natural gas;Total energy sector and final users;2017;1304,8;1365,7;5285,8;5341,1;-4;-1,2;1306;504,7;43,9;;644,8;112,6
Natural gas;Total energy sector and final users;2018;1286,5;1169,1;5101;4915,5;-74,5;6,4;1280,1;493;48,9;;638,2;100
Natural gas;Total energy sector and final users;2019;1341,6;998,2;4986,2;4640,1;-7,1;4,4;1337,2;570,6;47,1;;608,9;110,6
Natural gas;Total energy sector and final users;2020;1316,1;722,7;4804,6;4232,9;3,5;18,3;1297,8;579,7;46,7;;567,4;103,9
Natural gas;Total energy sector and final users;2021**;1261,9;649,6;4715,5;4300,3;191,4;5,8;1256,1;481,5;41,4;;622;111,2
Natural gas;Total energy sector and final users;2022**;977;535,2;4638,7;3987,1;-192,8;-16,9;993,9;398,4;27,4;;499,9;68,2
Natural gas;Total energy sector;1990;275,7;2283;1652,6;3659,7;-0,2;;275,7;244,4;31,3;;;
Natural gas;Total energy sector;1991;322,7;2581,2;1130,3;3388,7;-0,1;;322,7;289,6;33,1;;;
Natural gas;Total energy sector;1992;337,5;2592,2;1130;3384,6;-0,1;;337,5;302,3;35,3;;;
Natural gas;Total energy sector;1993;358,3;2642,4;2011,7;4295,3;-0,5;;358,3;325,2;33,1;;;
Natural gas;Total energy sector;1994;347,2;2506,6;1161,8;3321;-0,2;;347,2;316,1;31,1;;;
Natural gas;Total energy sector;1995;357;2548,2;1199;3390,3;;;357;325,7;31,2;;;
Natural gas;Total energy sector;1996;400,2;2883,9;1404,5;3888,5;0,2;;400,2;362,9;37,3;;;
