Energy sources and techniques;Energy application;Periods;Final consumption (TJ);Final consumption relative (% total energy cons.)
Total excluding statistical transfer;Total energy applications;1990;21772;1,2
Total excluding statistical transfer;Total energy applications;1991;22528;1,16
Total excluding statistical transfer;Total energy applications;1992;23188;1,21
Total excluding statistical transfer;Total energy applications;1993;23930;1,2
Total excluding statistical transfer;Total energy applications;1994;24303;1,24
Total excluding statistical transfer;Total energy applications;1995;25459;1,25
Total excluding statistical transfer;Total energy applications;1996;27993;1,27
Total excluding statistical transfer;Total energy applications;1997;30871;1,46
Total excluding statistical transfer;Total energy applications;1998;31932;1,51
Total excluding statistical transfer;Total energy applications;1999;33301;1,6
Total excluding statistical transfer;Total energy applications;2000;34689;1,62
Total excluding statistical transfer;Total energy applications;2001;36562;1,68
Total excluding statistical transfer;Total energy applications;2002;40076;1,85
Total excluding statistical transfer;Total energy applications;2003;40600;1,84
Total excluding statistical transfer;Total energy applications;2004;47422;2,04
Total excluding statistical transfer;Total energy applications;2005;57143;2,48
Total excluding statistical transfer;Total energy applications;2006;63478;2,78
Total excluding statistical transfer;Total energy applications;2007;74123;3,3
Total excluding statistical transfer;Total energy applications;2008;82081;3,6
Total excluding statistical transfer;Total energy applications;2009;93660;4,27
Total excluding statistical transfer;Total energy applications;2010;92411;3,92
Total excluding statistical transfer;Total energy applications;2011;99256;4,53
Total excluding statistical transfer;Total energy applications;2012;102676;4,66
Total excluding statistical transfer;Total energy applications;2013;103463;4,69
Total excluding statistical transfer;Total energy applications;2014;108835;5,42
Total excluding statistical transfer;Total energy applications;2015;117192;5,73
Total excluding statistical transfer;Total energy applications;2016;122177;5,84
Total excluding statistical transfer;Total energy applications;2017;136815;6,5
Total excluding statistical transfer;Total energy applications;2018;156304;7,39
Total excluding statistical transfer;Total energy applications;2019;184632;8,89
Total excluding statistical transfer;Total energy applications;2020;223015;11,47
Total excluding statistical transfer;Total energy applications;2021**;260748;13
Total excluding statistical transfer;Total energy applications;2022*;277076;15
Total including statistical transfer;Total energy applications;1990;21772;1,2
Total including statistical transfer;Total energy applications;1991;22528;1,16
Total including statistical transfer;Total energy applications;1992;23188;1,21
Total including statistical transfer;Total energy applications;1993;23930;1,2
Total including statistical transfer;Total energy applications;1994;24303;1,24
Total including statistical transfer;Total energy applications;1995;25459;1,25
Total including statistical transfer;Total energy applications;1996;27993;1,27
Total including statistical transfer;Total energy applications;1997;30871;1,46
Total including statistical transfer;Total energy applications;1998;31932;1,51
Total including statistical transfer;Total energy applications;1999;33301;1,6
Total including statistical transfer;Total energy applications;2000;34689;1,62
Total including statistical transfer;Total energy applications;2001;36562;1,68
Total including statistical transfer;Total energy applications;2002;40076;1,85
Total including statistical transfer;Total energy applications;2003;40600;1,84
Total including statistical transfer;Total energy applications;2004;47422;2,04
Total including statistical transfer;Total energy applications;2005;57143;2,48
Total including statistical transfer;Total energy applications;2006;63478;2,78
Total including statistical transfer;Total energy applications;2007;74123;3,3
Total including statistical transfer;Total energy applications;2008;82081;3,6
Total including statistical transfer;Total energy applications;2009;93660;4,27
Total including statistical transfer;Total energy applications;2010;92411;3,92
Total including statistical transfer;Total energy applications;2011;99256;4,53
Total including statistical transfer;Total energy applications;2012;102676;4,66
Total including statistical transfer;Total energy applications;2013;103463;4,69
Total including statistical transfer;Total energy applications;2014;108835;5,42
Total including statistical transfer;Total energy applications;2015;117192;5,73
Total including statistical transfer;Total energy applications;2016;122177;5,84
Total including statistical transfer;Total energy applications;2017;136815;6,5
Total including statistical transfer;Total energy applications;2018;156304;7,39
Total including statistical transfer;Total energy applications;2019;184632;8,89
Total including statistical transfer;Total energy applications;2020;272155;14
Total including statistical transfer;Total energy applications;2021**;260748;13
Total including statistical transfer;Total energy applications;2022*;277076;15
Statistical transfer;Total energy applications;1990;;
Statistical transfer;Total energy applications;1991;;
Statistical transfer;Total energy applications;1992;;
Statistical transfer;Total energy applications;1993;;
Statistical transfer;Total energy applications;1994;;
Statistical transfer;Total energy applications;1995;;
Statistical transfer;Total energy applications;1996;;
Statistical transfer;Total energy applications;1997;;
Statistical transfer;Total energy applications;1998;;
Statistical transfer;Total energy applications;1999;;
Statistical transfer;Total energy applications;2000;;
Statistical transfer;Total energy applications;2001;;
Statistical transfer;Total energy applications;2002;;
Statistical transfer;Total energy applications;2003;;
Statistical transfer;Total energy applications;2004;;
Statistical transfer;Total energy applications;2005;;
Statistical transfer;Total energy applications;2006;;
Statistical transfer;Total energy applications;2007;;
Statistical transfer;Total energy applications;2008;;
Statistical transfer;Total energy applications;2009;;
Statistical transfer;Total energy applications;2010;;
Statistical transfer;Total energy applications;2011;;
Statistical transfer;Total energy applications;2012;;
Statistical transfer;Total energy applications;2013;;
Statistical transfer;Total energy applications;2014;;
Statistical transfer;Total energy applications;2015;;
Statistical transfer;Total energy applications;2016;;
Statistical transfer;Total energy applications;2017;;
Statistical transfer;Total energy applications;2018;;
Statistical transfer;Total energy applications;2019;;
Statistical transfer;Total energy applications;2020;49140;2,53
Statistical transfer;Total energy applications;2021**;0;0
Statistical transfer;Total energy applications;2022*;0;0
Hydro power;Total energy applications;1990;306;0,02
Hydro power;Total energy applications;1991;340;0,02
Hydro power;Total energy applications;1992;371;0,02
Hydro power;Total energy applications;1993;361;0,02
Hydro power;Total energy applications;1994;361;0,02
Hydro power;Total energy applications;1995;353;0,02
Hydro power;Total energy applications;1996;344;0,02
Hydro power;Total energy applications;1997;342;0,02
Hydro power;Total energy applications;1998;349;0,02
Hydro power;Total energy applications;1999;347;0,02
Hydro power;Total energy applications;2000;362;0,02
Hydro power;Total energy applications;2001;367;0,02
Hydro power;Total energy applications;2002;369;0,02
Hydro power;Total energy applications;2003;361;0,02
Hydro power;Total energy applications;2004;360;0,02
Hydro power;Total energy applications;2005;361;0,02
Hydro power;Total energy applications;2006;361;0,02
Hydro power;Total energy applications;2007;358;0,02
Hydro power;Total energy applications;2008;360;0,02
Hydro power;Total energy applications;2009;360;0,02
Hydro power;Total energy applications;2010;364;0,02
Hydro power;Total energy applications;2011;358;0,02
Hydro power;Total energy applications;2012;361;0,02
Hydro power;Total energy applications;2013;362;0,02
Hydro power;Total energy applications;2014;367;0,02
Hydro power;Total energy applications;2015;355;0,02
Hydro power;Total energy applications;2016;351;0,02
Hydro power;Total energy applications;2017;339;0,02
Hydro power;Total energy applications;2018;340;0,02
Hydro power;Total energy applications;2019;334;0,02
Hydro power;Total energy applications;2020;324;0,02
Hydro power;Total energy applications;2021**;319;0,02
Hydro power;Total energy applications;2022*;312;0,02
Wind energy, total;Total energy applications;1990;202;0,01
Wind energy, total;Total energy applications;1991;317;0,02
Wind energy, total;Total energy applications;1992;492;0,03
Wind energy, total;Total energy applications;1993;624;0,03
Wind energy, total;Total energy applications;1994;794;0,04
Wind energy, total;Total energy applications;1995;1132;0,06
Wind energy, total;Total energy applications;1996;1568;0,07
Wind energy, total;Total energy applications;1997;1761;0,08
Wind energy, total;Total energy applications;1998;2056;0,1
Wind energy, total;Total energy applications;1999;2312;0,11
Wind energy, total;Total energy applications;2000;2678;0,13
Wind energy, total;Total energy applications;2001;2958;0,14
Wind energy, total;Total energy applications;2002;3672;0,17
Wind energy, total;Total energy applications;2003;4892;0,22
Wind energy, total;Total energy applications;2004;6347;0,27
Wind energy, total;Total energy applications;2005;7321;0,32
Wind energy, total;Total energy applications;2006;9145;0,4
Wind energy, total;Total energy applications;2007;11396;0,51
Wind energy, total;Total energy applications;2008;14131;0,62
Wind energy, total;Total energy applications;2009;16131;0,73
Wind energy, total;Total energy applications;2010;16210;0,69
Wind energy, total;Total energy applications;2011;17010;0,78
Wind energy, total;Total energy applications;2012;17780;0,81
Wind energy, total;Total energy applications;2013;19324;0,88
Wind energy, total;Total energy applications;2014;20914;1,04
Wind energy, total;Total energy applications;2015;24900;1,22
Wind energy, total;Total energy applications;2016;30110;1,44
Wind energy, total;Total energy applications;2017;34710;1,65
Wind energy, total;Total energy applications;2018;36106;1,71
Wind energy, total;Total energy applications;2019;38784;1,87
Wind energy, total;Total energy applications;2020;50215;2,58
Wind energy, total;Total energy applications;2021**;68618;3,42
Wind energy, total;Total energy applications;2022*;77616;4,2
Wind energy on shore;Total energy applications;1990;202;0,01
Wind energy on shore;Total energy applications;1991;317;0,02
Wind energy on shore;Total energy applications;1992;492;0,03
Wind energy on shore;Total energy applications;1993;624;0,03
Wind energy on shore;Total energy applications;1994;794;0,04
Wind energy on shore;Total energy applications;1995;1132;0,06
Wind energy on shore;Total energy applications;1996;1568;0,07
Wind energy on shore;Total energy applications;1997;1761;0,08
Wind energy on shore;Total energy applications;1998;2056;0,1
Wind energy on shore;Total energy applications;1999;2312;0,11
Wind energy on shore;Total energy applications;2000;2678;0,13
Wind energy on shore;Total energy applications;2001;2958;0,14
Wind energy on shore;Total energy applications;2002;3672;0,17
Wind energy on shore;Total energy applications;2003;4892;0,22
Wind energy on shore;Total energy applications;2004;6347;0,27
Wind energy on shore;Total energy applications;2005;7321;0,32
Wind energy on shore;Total energy applications;2006;8917;0,39
Wind energy on shore;Total energy applications;2007;10304;0,46
Wind energy on shore;Total energy applications;2008;12154;0,53
Wind energy on shore;Total energy applications;2009;13543;0,62
Wind energy on shore;Total energy applications;2010;13455;0,57
Wind energy on shore;Total energy applications;2011;14336;0,65
Wind energy on shore;Total energy applications;2012;14963;0,68
Wind energy on shore;Total energy applications;2013;16676;0,76
Wind energy on shore;Total energy applications;2014;18215;0,91
Wind energy on shore;Total energy applications;2015;21174;1,03
Wind energy on shore;Total energy applications;2016;21748;1,04
Wind energy on shore;Total energy applications;2017;22560;1,07
Wind energy on shore;Total energy applications;2018;23681;1,12
Wind energy on shore;Total energy applications;2019;26743;1,29
Wind energy on shore;Total energy applications;2020;32264;1,66
Wind energy on shore;Total energy applications;2021**;38002;1,89
Wind energy on shore;Total energy applications;2022*;47442;2,57
Wind energy off shore;Total energy applications;1990;;
Wind energy off shore;Total energy applications;1991;;
Wind energy off shore;Total energy applications;1992;;
Wind energy off shore;Total energy applications;1993;;
Wind energy off shore;Total energy applications;1994;;
Wind energy off shore;Total energy applications;1995;;
Wind energy off shore;Total energy applications;1996;;
Wind energy off shore;Total energy applications;1997;;
Wind energy off shore;Total energy applications;1998;;
Wind energy off shore;Total energy applications;1999;;
Wind energy off shore;Total energy applications;2000;;
Wind energy off shore;Total energy applications;2001;;
Wind energy off shore;Total energy applications;2002;;
Wind energy off shore;Total energy applications;2003;;
Wind energy off shore;Total energy applications;2004;;
Wind energy off shore;Total energy applications;2005;;
Wind energy off shore;Total energy applications;2006;228;0,01
Wind energy off shore;Total energy applications;2007;1092;0,05
Wind energy off shore;Total energy applications;2008;1977;0,09
Wind energy off shore;Total energy applications;2009;2588;0,12
Wind energy off shore;Total energy applications;2010;2755;0,12
Wind energy off shore;Total energy applications;2011;2674;0,12
Wind energy off shore;Total energy applications;2012;2817;0,13
Wind energy off shore;Total energy applications;2013;2648;0,12
Wind energy off shore;Total energy applications;2014;2700;0,13
Wind energy off shore;Total energy applications;2015;3727;0,18
Wind energy off shore;Total energy applications;2016;8362;0,4
Wind energy off shore;Total energy applications;2017;12150;0,58
Wind energy off shore;Total energy applications;2018;12426;0,59
Wind energy off shore;Total energy applications;2019;12041;0,58
Wind energy off shore;Total energy applications;2020;17951;0,92
Wind energy off shore;Total energy applications;2021**;30615;1,53
Wind energy off shore;Total energy applications;2022*;30173;1,63
Solar energy;Total energy applications;1990;102;0,01
Solar energy;Total energy applications;1991;115;0,01
Solar energy;Total energy applications;1992;139;0,01
Solar energy;Total energy applications;1993;157;0,01
Solar energy;Total energy applications;1994;184;0,01
Solar energy;Total energy applications;1995;216;0,01
Solar energy;Total energy applications;1996;251;0,01
Solar energy;Total energy applications;1997;303;0,01
Solar energy;Total energy applications;1998;358;0,02
Solar energy;Total energy applications;1999;424;0,02
Solar energy;Total energy applications;2000;482;0,02
Solar energy;Total energy applications;2001;553;0,03
Solar energy;Total energy applications;2002;634;0,03
Solar energy;Total energy applications;2003;715;0,03
Solar energy;Total energy applications;2004;795;0,03
Solar energy;Total energy applications;2005;847;0,04
Solar energy;Total energy applications;2006;886;0,04
Solar energy;Total energy applications;2007;934;0,04
Solar energy;Total energy applications;2008;988;0,04
Solar energy;Total energy applications;2009;1088;0,05
Solar energy;Total energy applications;2010;1196;0,05
Solar energy;Total energy applications;2011;1416;0,06
Solar energy;Total energy applications;2012;1757;0,08
Solar energy;Total energy applications;2013;2582;0,12
Solar energy;Total energy applications;2014;3739;0,19
Solar energy;Total energy applications;2015;5127;0,25
Solar energy;Total energy applications;2016;6913;0,33
Solar energy;Total energy applications;2017;9080;0,43
Solar energy;Total energy applications;2018;14510;0,69
Solar energy;Total energy applications;2019;20617;0,99
Solar energy;Total energy applications;2020;32729;1,68
Solar energy;Total energy applications;2021**;42547;2,12
Solar energy;Total energy applications;2022*;61740;3,34
Solar photovoltaic;Total energy applications;1990;2;0
Solar photovoltaic;Total energy applications;1991;2;0
Solar photovoltaic;Total energy applications;1992;3;0
Solar photovoltaic;Total energy applications;1993;4;0
Solar photovoltaic;Total energy applications;1994;5;0
Solar photovoltaic;Total energy applications;1995;5;0
Solar photovoltaic;Total energy applications;1996;7;0
Solar photovoltaic;Total energy applications;1997;9;0
Solar photovoltaic;Total energy applications;1998;13;0
Solar photovoltaic;Total energy applications;1999;20;0
Solar photovoltaic;Total energy applications;2000;28;0
Solar photovoltaic;Total energy applications;2001;42;0
Solar photovoltaic;Total energy applications;2002;59;0
Solar photovoltaic;Total energy applications;2003;91;0
Solar photovoltaic;Total energy applications;2004;121;0,01
Solar photovoltaic;Total energy applications;2005;128;0,01
Solar photovoltaic;Total energy applications;2006;132;0,01
Solar photovoltaic;Total energy applications;2007;135;0,01
Solar photovoltaic;Total energy applications;2008;143;0,01
Solar photovoltaic;Total energy applications;2009;162;0,01
Solar photovoltaic;Total energy applications;2010;201;0,01
Solar photovoltaic;Total energy applications;2011;376;0,02
Solar photovoltaic;Total energy applications;2012;686;0,03
Solar photovoltaic;Total energy applications;2013;1476;0,07
Solar photovoltaic;Total energy applications;2014;2611;0,13
Solar photovoltaic;Total energy applications;2015;3991;0,19
Solar photovoltaic;Total energy applications;2016;5767;0,28
Solar photovoltaic;Total energy applications;2017;7936;0,38
Solar photovoltaic;Total energy applications;2018;13354;0,63
Solar photovoltaic;Total energy applications;2019;19437;0,94
Solar photovoltaic;Total energy applications;2020;31553;1,62
Solar photovoltaic;Total energy applications;2021**;41383;2,06
Solar photovoltaic;Total energy applications;2022*;60576;3,28
Solar thermal, total;Total energy applications;1990;100;0,01
Solar thermal, total;Total energy applications;1991;113;0,01
Solar thermal, total;Total energy applications;1992;136;0,01
Solar thermal, total;Total energy applications;1993;154;0,01
Solar thermal, total;Total energy applications;1994;180;0,01
Solar thermal, total;Total energy applications;1995;211;0,01
Solar thermal, total;Total energy applications;1996;244;0,01
Solar thermal, total;Total energy applications;1997;294;0,01
Solar thermal, total;Total energy applications;1998;345;0,02
Solar thermal, total;Total energy applications;1999;404;0,02
Solar thermal, total;Total energy applications;2000;454;0,02
Solar thermal, total;Total energy applications;2001;511;0,02
Solar thermal, total;Total energy applications;2002;575;0,03
Solar thermal, total;Total energy applications;2003;624;0,03
Solar thermal, total;Total energy applications;2004;674;0,03
Solar thermal, total;Total energy applications;2005;719;0,03
Solar thermal, total;Total energy applications;2006;755;0,03
Solar thermal, total;Total energy applications;2007;798;0,04
Solar thermal, total;Total energy applications;2008;846;0,04
Solar thermal, total;Total energy applications;2009;926;0,04
Solar thermal, total;Total energy applications;2010;994;0,04
Solar thermal, total;Total energy applications;2011;1040;0,05
Solar thermal, total;Total energy applications;2012;1070;0,05
Solar thermal, total;Total energy applications;2013;1106;0,05
Solar thermal, total;Total energy applications;2014;1128;0,06
Solar thermal, total;Total energy applications;2015;1137;0,06
Solar thermal, total;Total energy applications;2016;1147;0,05
Solar thermal, total;Total energy applications;2017;1144;0,05
Solar thermal, total;Total energy applications;2018;1156;0,05
Solar thermal, total;Total energy applications;2019;1180;0,06
Solar thermal, total;Total energy applications;2020;1176;0,06
Solar thermal, total;Total energy applications;2021**;1164;0,06
Solar thermal, total;Total energy applications;2022*;1164;0,06
Total geothermal energy;Total energy applications;1990;;
Total geothermal energy;Total energy applications;1991;;
Total geothermal energy;Total energy applications;1992;;
Total geothermal energy;Total energy applications;1993;;
Total geothermal energy;Total energy applications;1994;28;0
Total geothermal energy;Total energy applications;1995;31;0
Total geothermal energy;Total energy applications;1996;36;0
Total geothermal energy;Total energy applications;1997;56;0
Total geothermal energy;Total energy applications;1998;90;0
Total geothermal energy;Total energy applications;1999;117;0,01
Total geothermal energy;Total energy applications;2000;156;0,01
Total geothermal energy;Total energy applications;2001;187;0,01
Total geothermal energy;Total energy applications;2002;244;0,01
Total geothermal energy;Total energy applications;2003;311;0,01
Total geothermal energy;Total energy applications;2004;452;0,02
Total geothermal energy;Total energy applications;2005;628;0,03
Total geothermal energy;Total energy applications;2006;840;0,04
Total geothermal energy;Total energy applications;2007;1141;0,05
Total geothermal energy;Total energy applications;2008;1584;0,07
Total geothermal energy;Total energy applications;2009;1983;0,09
Total geothermal energy;Total energy applications;2010;2501;0,11
Total geothermal energy;Total energy applications;2011;2854;0,13
Total geothermal energy;Total energy applications;2012;3347;0,15
Total geothermal energy;Total energy applications;2013;4140;0,19
Total geothermal energy;Total energy applications;2014;4906;0,24
Total geothermal energy;Total energy applications;2015;6082;0,3
Total geothermal energy;Total energy applications;2016;6699;0,32
Total geothermal energy;Total energy applications;2017;7127;0,34
Total geothermal energy;Total energy applications;2018;8114;0,38
Total geothermal energy;Total energy applications;2019;10279;0,49
Total geothermal energy;Total energy applications;2020;11282;0,58
Total geothermal energy;Total energy applications;2021**;11847;0,59
Total geothermal energy;Total energy applications;2022*;12792;0,69
Deep geothermal heat;Total energy applications;1990;;
Deep geothermal heat;Total energy applications;1991;;
Deep geothermal heat;Total energy applications;1992;;
Deep geothermal heat;Total energy applications;1993;;
Deep geothermal heat;Total energy applications;1994;;
Deep geothermal heat;Total energy applications;1995;;
Deep geothermal heat;Total energy applications;1996;;
Deep geothermal heat;Total energy applications;1997;;
Deep geothermal heat;Total energy applications;1998;;
Deep geothermal heat;Total energy applications;1999;;
Deep geothermal heat;Total energy applications;2000;;
Deep geothermal heat;Total energy applications;2001;;
Deep geothermal heat;Total energy applications;2002;;
Deep geothermal heat;Total energy applications;2003;;
Deep geothermal heat;Total energy applications;2004;;
Deep geothermal heat;Total energy applications;2005;;
Deep geothermal heat;Total energy applications;2006;;
Deep geothermal heat;Total energy applications;2007;;
Deep geothermal heat;Total energy applications;2008;96;0
Deep geothermal heat;Total energy applications;2009;142;0,01
Deep geothermal heat;Total energy applications;2010;318;0,01
Deep geothermal heat;Total energy applications;2011;316;0,01
Deep geothermal heat;Total energy applications;2012;495;0,02
Deep geothermal heat;Total energy applications;2013;993;0,05
Deep geothermal heat;Total energy applications;2014;1502;0,07
Deep geothermal heat;Total energy applications;2015;2448;0,12
Deep geothermal heat;Total energy applications;2016;2844;0,14
Deep geothermal heat;Total energy applications;2017;3047;0,14
Deep geothermal heat;Total energy applications;2018;3731;0,18
Deep geothermal heat;Total energy applications;2019;5563;0,27
Deep geothermal heat;Total energy applications;2020;6185;0,32
